番号,5,
名前,東北 ずん子,
呼び名,ずん子,
基礎,0,2000
基礎,1,1600
能力,Ｃ感覚,1
能力,料理技能,4
能力,歌唱技能,2
経験,絶頂経験,1
経験,自慰経験,2
経験,異常経験,1 ;落雷によりずんだ狂化
経験,家事経験,365
経験,被写経験,300
経験,歌唱経験,30
素質,処女,
素質,大人しい,
素質,プライド低い,
素質,痛みに強い,
素質,濡れやすい,
素質,習得早い,
素質,針さばき,
素質,両刀,
素質,Ｃ敏感,
素質,回復早い,
素質,鼓舞,
素質,狂気,
素質,人気,
素質,VOICEROID,
相性,3,150
相性,4,150
相性,10,200
相性,12,200
;服装 0:なし
;特殊1 1:手袋 2:袖 3:羽衣 4:ナースキャップ 5:警官帽 6:ウサ耳バンド 7:パーカー
フラグ,40,0
;特殊2 11:靴下 12:ハイソックス 13:ニーソックス 14:ガーターストッキング 15:パンティストッキング 16:足袋
フラグ,41,16
;下半身下着 21:ドロワーズ 22:パンティ 23:褌 24:トランクス 25:ブリーフ
フラグ,42,22
;上半身下着 31:ブラジャー 32:スポーツブラ 33:さらし
フラグ,43,33
;下半身上着 41:スカート 42:キュロット 43:もんぺ 44:ズボン 45:ブルマ 46:ビキニパンツ
フラグ,44,0
;上半身上着 51:上着 52:セーラー服 53:体操服 54:ビキニトップ 55:ナース服 56:警官制服 57:白衣 58:メイド服
フラグ,45,0
;全身上着 61:和服 62:導師服 63:ワンピース 64:スクール水着 65:バニースーツ 66:ボンテージスーツ 67:着ぐるみ
フラグ,46,61


